video_name,frame_id,xmin,ymin,xmax,ymax,velocity,customer_id,x_floorplan,y_floorplan,new_customer_id,camera,x_floorplan_new,y_floorplan_new,time,customer_id_global
20220314_1.03_12_16_blurred,376,653.4795253,231.7486426,733.3948149,330.7708547,0.016,1192,-359.6008022,-48.17997465,12161192,1.03,1226.699603,1430.75019,16:30:28,12161192
20220314_2.05_4_51_blurred,679,338.1564563,76.35151788,363.8951437,150.8152124,0,1692,-364.0302667,-46.2700641,4511692,2.05,1133.910839,1629.539456,16:30:28,44416406
20220314_2.05_4_51_blurred,680,338.1429369,76.16531336,363.9230915,150.8159328,0,1692,-364.0302667,-46.2700641,4511692,2.05,1133.910839,1629.539456,16:30:28,44416406
20220314_2.05_4_51_blurred,681,338.1424699,76.08571165,363.9330552,150.835614,0,1692,-364.0302667,-46.2700641,4511692,2.05,1133.910839,1629.539456,16:30:28,44416406
20220314_2.05_4_51_blurred,682,338.1529958,76.06630703,363.9312082,150.8432923,0,1692,-364.0302667,-46.2700641,4511692,2.05,1133.910839,1629.539456,16:30:28,44416406
20220314_2.05_4_51_blurred,683,338.1621513,76.04860196,363.9256778,150.8504239,0,1692,-364.0302667,-46.2700641,4511692,2.05,1133.910839,1629.539456,16:30:28,44416406
20220314_2.05_4_51_blurred,685,336.7773856,74.9664489,363.7536232,153.4138288,0.068,1692,-363.9896927,-46.26395497,4511692,2.05,1135.213881,1629.735057,16:30:28,44416406
20220314_1.03_12_16_blurred,377,144.1646774,365.2074472,283.9937612,532.4827271,1.297,1188,-363.7181428,-48.3946759,12161188,1.03,1092.42988,1425.342246,16:30:29,12161188
20220314_1.03_12_16_blurred,377,215.4313772,351.4233758,344.2231507,493.0399287,1.364,1191,-363.2008604,-48.30957234,12161191,1.03,1109.298867,1427.485854,16:30:29,12161191
20220314_1.03_12_16_blurred,377,653.5518667,231.9338643,733.1142215,330.5293596,0.014,1192,-359.5998766,-48.17847103,12161192,1.03,1226.729788,1430.788064,16:30:29,12161192
20220314_1.03_12_16_blurred,378,144.6187699,353.4149875,281.5118402,521.9458371,1.306,1188,-363.711493,-48.26508218,12161188,1.03,1092.646736,1428.606482,16:30:29,12161188
20220314_1.03_12_16_blurred,378,208.660544,348.7708816,335.6909682,491.9853827,1.386,1191,-363.2155227,-48.18589531,12161191,1.03,1108.820719,1430.601059,16:30:29,12161191
20220314_1.03_12_16_blurred,378,653.5533837,232.0379886,733.1656655,330.6922905,0.018,1192,-359.598502,-48.17617916,12161192,1.03,1226.774616,1430.845792,16:30:29,12161192
20220314_1.03_12_16_blurred,379,143.940544,343.4265144,279.4316253,514.5225229,1.26,1188,-363.7059075,-48.13986948,12161188,1.03,1092.828882,1431.760369,16:30:29,12161188
20220314_1.03_12_16_blurred,379,205.8812628,341.7225261,332.6317646,489.0166595,1.331,1191,-363.227504,-48.08198429,12161191,1.03,1108.429997,1433.218394,16:30:29,12161191
20220314_1.03_12_16_blurred,379,653.4953902,232.0770127,733.2685117,330.9502016,0.017,1192,-359.5977349,-48.17491336,12161192,1.03,1226.799633,1430.877675,16:30:29,12161192
